rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,243110,王者万象棋,6.8,412500,233738,178762,1435343,1183474,251869,2597,1899,698,1186258,1186768,-510,0,✅ 自然增长
2,899625,静心拼图,8.4,42278,0,42278,40220,39417,803,103,102,1,0,0,0,70,🔴 高概率广告导入
3,921865,军旅,7.7,182372,156228,26144,176853,152416,24437,627,447,180,0,0,0,0,✅ 自然增长
4,43639,我的世界：移动版,6.6,68461846,68436916,24930,39956753,39946029,10724,125412,125467,-55,473137,473138,-1,50,🟡 可能有广告
5,12492,阴阳师,7.4,14324863,14303874,20989,5169844,5161408,8436,59363,59354,9,9636,9637,-1,15,🟢 自然增长为主
6,330259,三角洲行动,5.5,21075281,21060847,14434,34666806,34650689,16117,52286,52276,10,3623978,3623996,-18,15,🟢 自然增长为主
7,165287,Phigros,9.5,55005349,54991032,14317,18635130,18629618,5512,105136,105151,-15,49397,49397,0,60,🟡 可能有广告
8,45213,心动小镇,8.6,60950785,60939161,11624,39509379,39504619,4760,249094,249187,-93,2402586,2402594,-8,50,🟡 可能有广告
9,2301,王者荣耀,5.0,53597583,53586540,11043,98321236,98304326,16910,371895,371917,-22,4327,4327,0,50,🟡 可能有广告
10,206776,蛋仔派对,7.8,40483857,40473068,10789,38714833,38705478,9355,50581,50593,-12,249502,249503,-1,50,🟡 可能有广告
11,62448,光·遇,7.9,45150171,45139599,10572,22371155,22366789,4366,138580,138575,5,1082058,1082061,-3,15,🟢 自然增长为主
12,168332,原神,7.9,91984374,91974270,10104,38915576,38911354,4222,506257,506269,-12,3114677,3114685,-8,50,🟡 可能有广告
13,234280,鸣潮,7.1,23608622,23598580,10042,13436610,13433117,3493,155637,155624,13,4395848,4395879,-31,5,✅ 自然增长
14,848832,上岸模拟器,7.6,67092,57535,9557,66230,56831,9399,18,15,3,0,0,0,15,🟢 自然增长为主
15,176937,金铲铲之战,6.4,16003364,15993914,9450,30471038,30459946,11092,38798,38785,13,1310828,1310830,-2,0,✅ 自然增长
16,234493,绝区零,6.7,17872330,17862912,9418,14102199,14098825,3374,114410,114415,-5,7221976,7222006,-30,60,🟡 可能有广告
17,49995,第五人格,7.3,30217287,30207958,9329,22803927,22799184,4743,94882,94893,-11,1531324,1531325,-1,50,🟡 可能有广告
18,188212,洛克王国：世界,7.3,6699768,6691238,8530,11139072,11134566,4506,70877,70877,0,3895655,3895729,-74,50,🟡 可能有广告
19,928422,心动的公寓,8.7,13141,4642,8499,12455,4372,8083,56,30,26,0,0,0,0,✅ 自然增长
20,714123,超自然行动组,7.0,18304714,18296876,7838,12701064,12697237,3827,41293,41319,-26,2807,2807,0,50,🟡 可能有广告
21,239372,燕云十六声,7.1,15216360,15208972,7388,10615622,10612053,3569,39327,39320,7,2167848,2167871,-23,15,🟢 自然增长为主
22,54031,植物大战僵尸2,6.2,15663669,15656504,7165,10165948,10160705,5243,26120,26110,10,0,0,0,0,✅ 自然增长
23,866257,塔塔冒险队,5.7,112196,105210,6986,116868,108804,8064,464,416,48,11568,11580,-12,0,✅ 自然增长
24,900069,古玩人生,9.2,102843,95866,6977,95970,89500,6470,390,366,24,0,0,0,0,✅ 自然增长
25,70253,明日方舟,8.1,34204259,34197284,6975,12608027,12605303,2724,196546,196552,-6,576074,576075,-1,60,🟡 可能有广告
