rank,id,title,score,download_count,prev_download_count,new_downloads,fans_count,prev_fans_count,new_fans,review_count,prev_review_count,new_reviews,reserve_count,prev_reserve_count,new_reserves,ad_score,ad_level
1,921865,军旅,7.4,226555,220237,6318,218660,212944,5716,822,792,30,0,0,0,0,✅ 自然增长
2,929382,总统模拟器,8.1,8619,3996,4623,8657,3987,4670,13,10,3,0,0,0,15,🟢 自然增长为主
3,907735,吃点·外卖模拟器,9.2,95235,91277,3958,92534,88730,3804,238,232,6,0,0,0,0,✅ 自然增长
4,884085,花掉马斯克的金钱,7.5,405576,401899,3677,396785,393285,3500,186,186,0,111,108,3,30,🟢 自然增长为主
5,861470,天机六爻,9.2,195646,192354,3292,183203,180095,3108,447,445,2,0,0,0,15,🟢 自然增长为主
6,919382,逐鹿十三州,8.4,12920,9707,3213,12485,9322,3163,48,41,7,2,2,0,0,✅ 自然增长
7,911108,奖来：彩票中了7000万之后的人生启动！,7.5,68263,65404,2859,65381,62670,2711,108,105,3,10,10,0,0,✅ 自然增长
8,922540,财富磨坊,8.9,41026,38683,2343,35576,33602,1974,103,99,4,0,0,0,0,✅ 自然增长
9,902150,幸运弹球,9.1,59751,57480,2271,51793,49826,1967,108,107,1,0,0,0,15,🟢 自然增长为主
10,917648,掘进,8.7,15593,13577,2016,13820,11926,1894,78,75,3,15,15,0,0,✅ 自然增长
11,880097,灵异直播间,8.6,85042,83066,1976,74244,72533,1711,278,278,0,0,0,0,30,🟢 自然增长为主
12,895177,废车拆出一个亿,8.5,68401,66441,1960,63150,61389,1761,58,58,0,0,0,0,30,🟢 自然增长为主
13,873826,训练前额叶,9.6,236223,234272,1951,222293,220418,1875,723,719,4,0,0,0,0,✅ 自然增长
14,899626,判卷捞人,8.3,89367,87423,1944,84875,82990,1885,83,82,1,2,2,0,15,🟢 自然增长为主
15,840185,愚公移山,8.8,111543,109630,1913,93677,92095,1582,390,390,0,16,16,0,30,🟢 自然增长为主
16,930415,从螺丝钉开始进化,8.2,2937,1230,1707,2646,1106,1540,18,12,6,0,0,0,0,✅ 自然增长
17,878915,古代清官模拟器,8.9,85603,83902,1701,80498,78915,1583,125,123,2,0,0,0,0,✅ 自然增长
18,860950,翡翠经营模拟器,9.0,961067,959471,1596,876067,874783,1284,1873,1875,-2,0,0,0,30,🟢 自然增长为主
19,848832,上岸模拟器,7.6,82819,81230,1589,81603,80064,1539,22,22,0,0,0,0,30,🟢 自然增长为主
20,863515,边境检查站,7.0,210781,209313,1468,206459,205007,1452,145,145,0,0,0,0,30,🟢 自然增长为主
21,904067,完美清洁公司,8.6,50457,48989,1468,46658,45304,1354,40,39,1,0,0,0,15,🟢 自然增长为主
22,840742,SBTI人格测试,8.4,805042,803599,1443,777195,775867,1328,1239,1242,-3,0,0,0,30,🟢 自然增长为主
