date,daily_avg_new_downloads_wan,daily_avg_new_comments_wan
2025-06-08,120.45,0.394
2025-06-15,144.26,0.4179
2025-06-21,136.52,0.3858
2025-06-28,153.07,0.3838
2025-07-05,189.37,0.4172
2025-07-12,183.45,0.4718
2025-07-19,179.98,0.4937
2025-07-27,187.03,0.5399
2025-08-02,178.53,0.5068
2025-08-09,174.24,0.4496
2025-08-16,177.68,0.4314
2025-08-24,149.01,0.3809
2025-08-30,148.14,0.3943
2025-09-06,106.32,0.3012
2025-09-15,111.82,0.2964
2025-09-22,100.64,0.234
2025-09-27,89.43,0.2636
2025-10-06,150.35,0.3695
2025-10-12,110.47,0.3509
2025-10-18,93.26,0.2366
2025-10-25,99.75,0.2636
2025-11-01,107.09,0.335
2025-11-08,117.46,0.3272
2025-11-15,105.26,0.2648
2025-11-22,105.22,0.0786
2025-11-29,113.0,-0.1649
2025-12-06,112.55,0.3269
2025-12-13,100.19,0.2626
2025-12-20,100.43,0.2402
2025-12-27,98.76,0.2828
2026-01-03,136.32,0.5928
2026-01-10,94.51,0.5973
2026-01-18,124.57,0.3762
2026-01-24,118.21,0.4059
2026-01-31,145.02,0.6018
2026-02-07,172.81,0.5909
2026-02-16,192.97,0.5068
2026-02-24,184.38,0.4136
2026-03-02,160.01,0.3834
2026-03-11,116.77,0.3078
2026-03-14,96.66,0.2454
2026-03-21,117.13,0.2654
2026-03-28,111.42,0.2565
2026-04-05,132.1,0.3429
2026-04-11,116.95,0.3365
2026-04-18,113.71,0.3194
2026-04-25,110.54,0.3627
2026-05-02,148.05,0.5239
2026-05-10,129.91,0.4147
2026-05-16,95.43,0.2984
2026-05-23,105.67,0.5705
2026-05-30,111.85,0.475
2026-06-06,120.65,0.4128
2026-06-13,140.48,0.5011
2026-06-20,149.85,0.4141
2026-06-27,135.46,1.4794
2026-07-04,159.66,2.1938
2026-07-11,177.94,0.655
2026-07-18,197.9,0.5972
2026-08-09,183.43,0.534
